id_tipo_item,id_fonte,nome,valor,unidade_medida,medida_base,calorias,carboidratos,proteinas,lipidios,fibras,vitamina_a,vitamina_c,vitamina_d,vitamina_e,vitamina_b1,vitamina_b2,vitamina_b6,vitamina_b12,niacina,folico,pantotenico,calcio,ferro,magnesio,potassio,selenio,fosforo,iodo,cobre,zinco,sodio,gordura_total,colesterol,gordura_saturada,gordura_poliinsaturada,gordura_monoinsaturada
1,1,"Arroz, integral, cozido",0,2,100,123.5348925,25.80975,2.58825,1.00033333333333,2.74933333333333,0,0,0,0,0.08,0,0.08,0,0,0,0,5.204,0.262,58.702,75.1516666666667,0,105.853,0,0.020333333333333,0.682666666666667,1.24466666666667,1,0,0.3,0.3,0.4
1,1,"Arroz, integral, cru",0,2,100,359.678002032609,77.4507141304348,7.32328586956522,1.86483333333333,4.81916666666667,0,0,0,0,0.261666666666667,0,0.175,0,4.18333333333333,0,0,7.818,0.948333333333333,109.71,173.34,0,250.865,0,0.074833333333333,1.39516666666667,1.64566666666667,1.2,0,0.3,0.4,0.5
1,1,"Arroz, tipo 1, cozido",0,2,100,128.258485666667,28.05985,2.52081666666667,0.227,1.561,0,0,0,0,0,0,0,0,0,0,0,3.54433333333333,0.076666666666667,2.25333333333333,14.6736666666667,0,17.945,0,0.015,0.491333333333333,1.20066666666667,0.2,0,0.2,0,0
1,1,"Arroz, tipo 1, cru",0,2,100,357.789273115942,78.7595434782609,7.15853985507246,0.335,1.63916666666667,0,0,0,0,0.163333333333333,0,0.069166666666667,0,1.11666666666667,0,0,4.41433333333333,0.6777475,30.3836666666667,62.4994166666667,0,104.207583333333,0,0.114833333333333,1.22483333333333,1.01916666666667,0.3,0,0.1,0.1,0.1
1,1,"Arroz, tipo 2, cozido",0,2,100,130.119648333333,28.1925833333333,2.56841666666667,0.361666666666667,1.06966666666667,0,0,0,0,0,0,0,0,0,0,0,3.33366666666667,0.050333333333333,6.05333333333333,20.2033333333333,0,21.5213333333333,0,0.041,0.549333333333333,1.95966666666667,0.3,0,0.1,0.1,0.1
1,1,"Arroz, tipo 2, cru",0,2,100,358.116761456522,78.8814503623188,7.24188297101449,0.2755,1.71983333333333,0,0,0,0,0.163333333333333,0,0.049166666666667,0,0.918333333333333,0,0,4.8335,0.597833333333333,29.2390833333333,57.2845833333333,0,82.0439166666667,0,0.052,1.27208333333333,0.568833333333333,0.3,0,0.1,0.1,0.1
1,1,"Aveia, flocos, crua",0,2,100,393.822689449275,66.6356405797102,13.9210260869565,8.49666666666667,9.13,0,1.35,0,0,0.553333333333333,0.03,0,0,4.47,0,0,47.89,4.44666666666667,118.762333333333,336.333333333333,0,153.396666666667,0,0.44,2.63,4.62666666666667,7.712,0,1.54,3.01633333333333,3.15566666666667
1,1,"Biscoito, doce, maisena",0,2,100,442.819390144928,75.2341449275362,8.07252173913043,11.9666666666667,2.1,0,6.21666666666667,0,0,1.01,0.416666666666667,0.23,0,3.90666666666667,0,0,54.45,1.76,37.1433333333333,141.64,0,166.103333333333,0,0.17,1.03,352.026666666667,11.38,0,3.9,2.2,3.7
1,1,"Biscoito, doce, recheado com chocolate",0,2,100,471.824779710145,70.5494492753623,6.39721739130435,19.5833333333333,2.95666666666667,0,3.52666666666667,0,0,0.316666666666667,0.393333333333333,0.456666666666667,0,2.52333333333333,0,0,27.23,2.27,47.9766666666667,232.4,0,139.45,0,0.273333333333333,0.993333333333333,239.2,18.71,0,6.2,1.7,6.6
1,1,"Biscoito, doce, recheado com morango",0,2,100,471.174736231884,71.0135072463768,5.71982608695652,19.5733333333333,1.53333333333333,0,0,0,0,0.896666666666667,0.42,0.21,0,1.49666666666667,0,0,35.78,1.48,27.1,113.013333333333,0,137.743333333333,0,0.126666666666667,0.726666666666667,229.816666666667,18.83,0,6.1,1.7,6.5
1,1,"Biscoito, doce, wafer, recheado de chocolate",0,2,100,502.456857971014,67.5354782608696,5.56452173913044,24.6733333333333,1.80333333333333,0,0,0,0,0.366666666666667,0.03,0.296666666666667,0,1.12,0,0,23.3433333333333,2.44333333333333,47.8533333333333,240.453333333333,0,124.203333333333,0,0.263333333333333,0.873333333333333,137.24,23.55,0,6.5,1.9,8.1
1,1,"Biscoito, doce, wafer, recheado de morango",0,2,100,513.446182608696,67.3529565217391,4.51704347826087,26.4,0.82,0,0,0,0,0.356666666666667,0,0.94,0,0.373333333333333,0,0,13.7066666666667,1.09333333333333,18.54,74.8433333333333,0,73.1633333333333,0,0.083333333333333,0.513333333333333,119.9,25.2,1.26733333333333,6.7,1.8,8.9
1,1,"Biscoito, salgado, cream cracker",0,2,100,431.73228115942,68.7315362318841,10.0551304347826,14.4366666666667,2.51,0,0,0,0,0.71,0.13,0.17,0,7.13666666666667,0,0,20.0033333333333,2.2,39.7466666666667,180.613333333333,0,148.26,0,0.18,1.13666666666667,854.356666666667,13.7,0,4.4,2.9,4.6
1,1,"Bolo, mistura para",0,2,100,418.633333333333,84.7139130434783,6.15942028985507,6.12666666666667,1.70333333333333,0,0,0,0,0.176666666666667,0,1.50333333333333,0,1.51666666666667,0,0,58.879,1.21066666666667,27.922,75.363,0,332.657666666667,0,0.153333333333333,0.582666666666667,462.88,5.882,0,2.095,0.813,1.89016666666667
1,1,"Bolo, pronto, aipim",0,2,100,323.851666666667,47.864,4.41666666666667,12.7476666666667,0.690666666666667,0,0,0,0,0.13,0.07,0,0,0,0,0,85.0223333333333,0.489,10.344,134.822666666667,0,122.194,0,0.051666666666667,0.415666666666667,111.008333333333,11.99,73.204,5,1.1,3.9
